Circuit,Model,Fold,MAE,RMSE,R2,N_train,N_test
Bahrain Grand Prix,Naive (compound mean),1,2.2517,5.6976,0.0131,2400,600
Bahrain Grand Prix,Linear Regression,1,2.2341,5.321,0.1393,2400,600
Bahrain Grand Prix,Ridge Regression,1,2.2241,5.3166,0.1407,2400,600
Bahrain Grand Prix,Random Forest,1,0.9662,3.306,0.6678,2400,600
Bahrain Grand Prix,Gradient Boosting,1,0.9523,3.2253,0.6838,2400,600
Bahrain Grand Prix,XGBoost,1,0.9485,3.1593,0.6966,2400,600
Bahrain Grand Prix,Naive (compound mean),2,2.3091,6.0312,0.0149,2400,600
Bahrain Grand Prix,Linear Regression,2,2.2792,5.6619,0.1318,2400,600
Bahrain Grand Prix,Ridge Regression,2,2.2748,5.6623,0.1317,2400,600
Bahrain Grand Prix,Random Forest,2,0.8289,2.4992,0.8308,2400,600
Bahrain Grand Prix,Gradient Boosting,2,0.8316,2.2231,0.8662,2400,600
Bahrain Grand Prix,XGBoost,2,0.8324,2.2156,0.8671,2400,600
Bahrain Grand Prix,Naive (compound mean),3,1.7615,3.9893,0.0521,2400,600
Bahrain Grand Prix,Linear Regression,3,1.977,3.8192,0.1312,2400,600
Bahrain Grand Prix,Ridge Regression,3,1.972,3.8199,0.1309,2400,600
Bahrain Grand Prix,Random Forest,3,0.7196,2.2739,0.692,2400,600
Bahrain Grand Prix,Gradient Boosting,3,0.7229,2.1588,0.7224,2400,600
Bahrain Grand Prix,XGBoost,3,0.733,2.1799,0.717,2400,600
Bahrain Grand Prix,Naive (compound mean),4,1.9642,4.611,0.0308,2400,600
Bahrain Grand Prix,Linear Regression,4,2.088,4.3684,0.1301,2400,600
Bahrain Grand Prix,Ridge Regression,4,2.0838,4.3677,0.1304,2400,600
Bahrain Grand Prix,Random Forest,4,0.7389,2.0673,0.8052,2400,600
Bahrain Grand Prix,Gradient Boosting,4,0.7445,1.8632,0.8418,2400,600
Bahrain Grand Prix,XGBoost,4,0.7491,1.9558,0.8256,2400,600
Bahrain Grand Prix,Naive (compound mean),5,2.3258,5.5937,0.0065,2400,600
Bahrain Grand Prix,Linear Regression,5,2.4077,5.3459,0.0926,2400,600
Bahrain Grand Prix,Ridge Regression,5,2.3927,5.3414,0.0941,2400,600
Bahrain Grand Prix,Random Forest,5,1.0279,3.0594,0.7028,2400,600
Bahrain Grand Prix,Gradient Boosting,5,1.0265,2.9151,0.7302,2400,600
Bahrain Grand Prix,XGBoost,5,1.0283,2.8259,0.7464,2400,600
Spanish Grand Prix,Naive (compound mean),1,3.458,4.7457,-0.1109,2856,715
Spanish Grand Prix,Linear Regression,1,0.6472,1.22,0.9266,2856,715
Spanish Grand Prix,Ridge Regression,1,0.6472,1.2215,0.9264,2856,715
Spanish Grand Prix,Random Forest,1,0.5146,1.0245,0.9482,2856,715
Spanish Grand Prix,Gradient Boosting,1,0.4364,0.9309,0.9573,2856,715
Spanish Grand Prix,XGBoost,1,0.4422,0.9407,0.9564,2856,715
Spanish Grand Prix,Naive (compound mean),2,2.966,4.1522,-0.0271,2857,714
Spanish Grand Prix,Linear Regression,2,0.6896,1.1322,0.9236,2857,714
Spanish Grand Prix,Ridge Regression,2,0.6843,1.1315,0.9237,2857,714
Spanish Grand Prix,Random Forest,2,0.4846,0.7232,0.9688,2857,714
Spanish Grand Prix,Gradient Boosting,2,0.4193,0.6359,0.9759,2857,714
Spanish Grand Prix,XGBoost,2,0.4185,0.6395,0.9756,2857,714
Spanish Grand Prix,Naive (compound mean),3,3.0799,4.2646,-0.0352,2857,714
Spanish Grand Prix,Linear Regression,3,0.6398,1.0786,0.9338,2857,714
Spanish Grand Prix,Ridge Regression,3,0.6433,1.0843,0.9331,2857,714
Spanish Grand Prix,Random Forest,3,0.478,0.6978,0.9723,2857,714
Spanish Grand Prix,Gradient Boosting,3,0.4156,0.6076,0.979,2857,714
Spanish Grand Prix,XGBoost,3,0.4128,0.6033,0.9793,2857,714
Spanish Grand Prix,Naive (compound mean),4,3.2994,4.5149,-0.0403,2857,714
Spanish Grand Prix,Linear Regression,4,0.6812,1.1729,0.9298,2857,714
Spanish Grand Prix,Ridge Regression,4,0.679,1.1744,0.9296,2857,714
Spanish Grand Prix,Random Forest,4,0.4814,0.7242,0.9732,2857,714
Spanish Grand Prix,Gradient Boosting,4,0.4149,0.6311,0.9797,2857,714
Spanish Grand Prix,XGBoost,4,0.4137,0.6319,0.9796,2857,714
Spanish Grand Prix,Naive (compound mean),5,3.0893,4.2224,-0.022,2857,714
Spanish Grand Prix,Linear Regression,5,0.6564,1.0954,0.9312,2857,714
Spanish Grand Prix,Ridge Regression,5,0.6507,1.0947,0.9313,2857,714
Spanish Grand Prix,Random Forest,5,0.5113,0.8308,0.9604,2857,714
Spanish Grand Prix,Gradient Boosting,5,0.4355,0.7171,0.9705,2857,714
Spanish Grand Prix,XGBoost,5,0.4376,0.718,0.9705,2857,714
British Grand Prix,Naive (compound mean),1,3.6753,10.4163,-0.0746,1838,460
British Grand Prix,Linear Regression,1,4.9406,9.4232,0.1205,1838,460
British Grand Prix,Ridge Regression,1,4.932,9.4177,0.1215,1838,460
British Grand Prix,Random Forest,1,1.2055,3.7976,0.8572,1838,460
British Grand Prix,Gradient Boosting,1,0.9775,3.084,0.9058,1838,460
British Grand Prix,XGBoost,1,1.0417,3.4791,0.8801,1838,460
British Grand Prix,Naive (compound mean),2,3.5242,10.2601,-0.0653,1838,460
British Grand Prix,Linear Regression,2,4.9632,9.5002,0.0867,1838,460
British Grand Prix,Ridge Regression,2,4.9538,9.4986,0.087,1838,460
British Grand Prix,Random Forest,2,1.0375,2.547,0.9344,1838,460
British Grand Prix,Gradient Boosting,2,0.9316,2.1612,0.9527,1838,460
British Grand Prix,XGBoost,2,0.8363,1.883,0.9641,1838,460
British Grand Prix,Naive (compound mean),3,3.5156,9.5519,-0.0774,1838,460
British Grand Prix,Linear Regression,3,5.0646,8.7302,0.1,1838,460
British Grand Prix,Ridge Regression,3,5.0581,8.7284,0.1004,1838,460
British Grand Prix,Random Forest,3,1.0748,3.4676,0.858,1838,460
British Grand Prix,Gradient Boosting,3,0.9538,2.758,0.9102,1838,460
British Grand Prix,XGBoost,3,0.9359,2.738,0.9115,1838,460
British Grand Prix,Naive (compound mean),4,3.54,10.1593,-0.0636,1839,459
British Grand Prix,Linear Regression,4,5.0598,9.398,0.0898,1839,459
British Grand Prix,Ridge Regression,4,5.051,9.3943,0.0905,1839,459
British Grand Prix,Random Forest,4,1.0323,2.5686,0.932,1839,459
British Grand Prix,Gradient Boosting,4,0.7604,1.5684,0.9746,1839,459
British Grand Prix,XGBoost,4,0.7942,1.6165,0.9731,1839,459
British Grand Prix,Naive (compound mean),5,3.5737,10.035,-0.0689,1839,459
British Grand Prix,Linear Regression,5,4.9897,9.1626,0.1089,1839,459
British Grand Prix,Ridge Regression,5,4.9806,9.1601,0.1094,1839,459
British Grand Prix,Random Forest,5,1.192,3.2018,0.8912,1839,459
British Grand Prix,Gradient Boosting,5,0.8712,2.4217,0.9378,1839,459
British Grand Prix,XGBoost,5,0.878,2.4319,0.9372,1839,459
Italian Grand Prix,Naive (compound mean),1,2.2061,6.041,0.0017,2204,551
Italian Grand Prix,Linear Regression,1,2.6054,5.2542,0.2448,2204,551
Italian Grand Prix,Ridge Regression,1,2.5495,5.3551,0.2155,2204,551
Italian Grand Prix,Random Forest,1,0.6859,1.9941,0.8912,2204,551
Italian Grand Prix,Gradient Boosting,1,0.6766,2.0959,0.8798,2204,551
Italian Grand Prix,XGBoost,1,0.6653,2.0796,0.8817,2204,551
Italian Grand Prix,Naive (compound mean),2,2.269,6.6523,-0.0106,2204,551
Italian Grand Prix,Linear Regression,2,2.7818,5.7868,0.2352,2204,551
Italian Grand Prix,Ridge Regression,2,2.6298,5.871,0.2128,2204,551
Italian Grand Prix,Random Forest,2,0.9049,3.3033,0.7508,2204,551
Italian Grand Prix,Gradient Boosting,2,0.8029,2.9583,0.8001,2204,551
Italian Grand Prix,XGBoost,2,0.8313,3.139,0.775,2204,551
Italian Grand Prix,Naive (compound mean),3,1.9152,5.3155,-0.0022,2204,551
Italian Grand Prix,Linear Regression,3,2.7338,4.9279,0.1386,2204,551
Italian Grand Prix,Ridge Regression,3,2.626,4.9586,0.1279,2204,551
Italian Grand Prix,Random Forest,3,0.9479,3.4693,0.5731,2204,551
Italian Grand Prix,Gradient Boosting,3,0.8221,3.2373,0.6283,2204,551
Italian Grand Prix,XGBoost,3,0.8007,3.1586,0.6461,2204,551
Italian Grand Prix,Naive (compound mean),4,2.5031,6.6864,-0.0271,2204,551
Italian Grand Prix,Linear Regression,4,2.8161,5.6801,0.2587,2204,551
Italian Grand Prix,Ridge Regression,4,2.725,5.7613,0.2374,2204,551
Italian Grand Prix,Random Forest,4,1.0234,3.3831,0.737,2204,551
Italian Grand Prix,Gradient Boosting,4,1.0385,4.1874,0.5972,2204,551
Italian Grand Prix,XGBoost,4,1.0347,4.1355,0.6071,2204,551
Italian Grand Prix,Naive (compound mean),5,2.4007,6.7888,-0.022,2204,551
Italian Grand Prix,Linear Regression,5,2.9155,5.8747,0.2347,2204,551
Italian Grand Prix,Ridge Regression,5,2.7815,5.9604,0.2122,2204,551
Italian Grand Prix,Random Forest,5,1.0299,3.3309,0.754,2204,551
Italian Grand Prix,Gradient Boosting,5,0.8676,3.2037,0.7724,2204,551
Italian Grand Prix,XGBoost,5,0.8607,3.0823,0.7893,2204,551
Monaco Grand Prix,Naive (compound mean),1,2.3379,5.7773,-0.0389,2224,557
Monaco Grand Prix,Linear Regression,1,2.3127,4.6864,0.3164,2224,557
Monaco Grand Prix,Ridge Regression,1,2.2947,4.693,0.3145,2224,557
Monaco Grand Prix,Random Forest,1,1.0312,2.3123,0.8336,2224,557
Monaco Grand Prix,Gradient Boosting,1,0.8282,2.0061,0.8747,2224,557
Monaco Grand Prix,XGBoost,1,0.8494,2.1875,0.8511,2224,557
Monaco Grand Prix,Naive (compound mean),2,2.3456,5.7564,-0.0445,2225,556
Monaco Grand Prix,Linear Regression,2,2.402,4.6701,0.3125,2225,556
Monaco Grand Prix,Ridge Regression,2,2.377,4.6718,0.312,2225,556
Monaco Grand Prix,Random Forest,2,0.9547,1.7117,0.9076,2225,556
Monaco Grand Prix,Gradient Boosting,2,0.7932,1.4569,0.9331,2225,556
Monaco Grand Prix,XGBoost,2,0.7866,1.4241,0.9361,2225,556
Monaco Grand Prix,Naive (compound mean),3,2.3186,5.3476,-0.0514,2225,556
Monaco Grand Prix,Linear Regression,3,2.2457,4.1328,0.372,2225,556
Monaco Grand Prix,Ridge Regression,3,2.212,4.1215,0.3754,2225,556
Monaco Grand Prix,Random Forest,3,1.0094,2.1437,0.831,2225,556
Monaco Grand Prix,Gradient Boosting,3,0.8069,1.6877,0.8953,2225,556
Monaco Grand Prix,XGBoost,3,0.7962,1.6856,0.8955,2225,556
Monaco Grand Prix,Naive (compound mean),4,2.3763,5.7112,-0.0458,2225,556
Monaco Grand Prix,Linear Regression,4,2.303,4.2303,0.4263,2225,556
Monaco Grand Prix,Ridge Regression,4,2.2791,4.2282,0.4268,2225,556
Monaco Grand Prix,Random Forest,4,1.0447,2.2339,0.84,2225,556
Monaco Grand Prix,Gradient Boosting,4,0.865,1.9399,0.8793,2225,556
Monaco Grand Prix,XGBoost,4,0.8617,1.9208,0.8817,2225,556
Monaco Grand Prix,Naive (compound mean),5,2.2197,5.2542,-0.0401,2225,556
Monaco Grand Prix,Linear Regression,5,2.2515,4.1231,0.3595,2225,556
Monaco Grand Prix,Ridge Regression,5,2.2255,4.1159,0.3618,2225,556
Monaco Grand Prix,Random Forest,5,0.9562,1.7523,0.8843,2225,556
Monaco Grand Prix,Gradient Boosting,5,0.8105,1.5327,0.9115,2225,556
Monaco Grand Prix,XGBoost,5,0.8223,1.5476,0.9098,2225,556
Hungarian Grand Prix,Naive (compound mean),1,1.4659,3.4743,-0.0066,2997,750
Hungarian Grand Prix,Linear Regression,1,1.344,3.1384,0.1786,2997,750
Hungarian Grand Prix,Ridge Regression,1,1.3429,3.1384,0.1786,2997,750
Hungarian Grand Prix,Random Forest,1,0.6609,1.5733,0.7936,2997,750
Hungarian Grand Prix,Gradient Boosting,1,0.6091,1.4881,0.8153,2997,750
Hungarian Grand Prix,XGBoost,1,0.6064,1.4321,0.829,2997,750
Hungarian Grand Prix,Naive (compound mean),2,1.3969,3.1903,0.0072,2997,750
Hungarian Grand Prix,Linear Regression,2,1.2837,2.9168,0.1701,2997,750
Hungarian Grand Prix,Ridge Regression,2,1.2832,2.9164,0.1704,2997,750
Hungarian Grand Prix,Random Forest,2,0.6284,1.4962,0.7816,2997,750
Hungarian Grand Prix,Gradient Boosting,2,0.6235,1.4205,0.8032,2997,750
Hungarian Grand Prix,XGBoost,2,0.617,1.4029,0.808,2997,750
Hungarian Grand Prix,Naive (compound mean),3,1.5451,3.3962,-0.0111,2998,749
Hungarian Grand Prix,Linear Regression,3,1.3399,2.962,0.2309,2998,749
Hungarian Grand Prix,Ridge Regression,3,1.3383,2.9613,0.2313,2998,749
Hungarian Grand Prix,Random Forest,3,0.6892,1.479,0.8083,2998,749
Hungarian Grand Prix,Gradient Boosting,3,0.6402,1.3684,0.8359,2998,749
Hungarian Grand Prix,XGBoost,3,0.6432,1.3672,0.8361,2998,749
Hungarian Grand Prix,Naive (compound mean),4,1.4752,3.405,-0.0152,2998,749
Hungarian Grand Prix,Linear Regression,4,1.2693,2.9629,0.2313,2998,749
Hungarian Grand Prix,Ridge Regression,4,1.2682,2.9605,0.2325,2998,749
Hungarian Grand Prix,Random Forest,4,0.736,1.88,0.6905,2998,749
Hungarian Grand Prix,Gradient Boosting,4,0.6823,1.6808,0.7526,2998,749
Hungarian Grand Prix,XGBoost,4,0.6723,1.6448,0.7631,2998,749
Hungarian Grand Prix,Naive (compound mean),5,1.4362,3.2781,0.0042,2998,749
Hungarian Grand Prix,Linear Regression,5,1.2439,2.7445,0.302,2998,749
Hungarian Grand Prix,Ridge Regression,5,1.2429,2.744,0.3023,2998,749
Hungarian Grand Prix,Random Forest,5,0.5899,0.9961,0.9081,2998,749
Hungarian Grand Prix,Gradient Boosting,5,0.5636,0.9904,0.9091,2998,749
Hungarian Grand Prix,XGBoost,5,0.5596,0.969,0.913,2998,749
